target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
SBF2,ENSG00000133812,1.0,1.0,0.0,0.0,0.0,0.0,0.05108043431443083,0.30992220551514243,SET binding factor 2
SH3TC2,ENSG00000169247,1.0,1.0,0.0,0.0,0.0,0.0,0.10467795859384965,0.32692642035552943,SH3 domain and tetratricopeptide repeats 2
THRA,ENSG00000126351,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2824479333333334,thyroid hormone receptor alpha
ALS2,ENSG00000003393,1.0,1.0,0.0,0.0,0.0,0.0,0.07586352865567002,0.32287913139627267,alsin Rho guanine nucleotide exchange factor ALS2
FGD4,ENSG00000139132,1.0,1.0,0.0,0.0,0.0,0.0,0.05954738888888889,0.3253815390874016,"FYVE, RhoGEF and PH domain containing 4"
LRSAM1,ENSG00000148356,1.0,1.0,0.0,0.0,0.0,0.0,0.035961,0.3255122275040031,leucine rich repeat and sterile alpha motif containing 1
NDRG1,ENSG00000104419,1.0,1.0,0.0,0.0,0.0,0.0,0.06432205094973276,0.3269961412479291,N-myc downstream regulated 1
SLC25A46,ENSG00000164209,1.0,1.0,0.0,0.0,0.0,0.0,0.0318,0.0,solute carrier family 25 member 46
PLEKHG5,ENSG00000171680,1.0,1.0,0.0,0.0,0.0,0.0,0.047850000000000004,0.0,pleckstrin homology and RhoGEF domain containing G5
HINT1,ENSG00000169567,1.0,1.0,0.0,0.0,0.0,0.0,0.06921991031526778,0.0,histidine triad nucleotide binding protein 1
HARS,ENSG00000170445,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,histidyl-tRNA synthetase
AARS,ENSG00000090861,1.0,1.0,0.0,0.0,0.0,0.0,0.0478,0.0,alanyl-tRNA synthetase
LMNA,ENSG00000160789,1.0,1.0,0.0,0.0,0.0,0.0,0.044225111328186004,0.3204395196131153,lamin A/C
COX6A1,ENSG00000111775,1.0,1.0,0.0,0.0,0.0,0.0,0.010500000000000002,0.30992220551514243,cytochrome c oxidase subunit 6A1
DHTKD1,ENSG00000181192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,dehydrogenase E1 and transketolase domain containing 1
PFN1,ENSG00000108518,1.0,1.0,0.0,0.0,0.0,0.0,0.18420881988239715,0.0,profilin 1
OPTN,ENSG00000123240,1.0,1.0,0.0,0.0,0.0,0.0,0.28027430226498323,0.0,optineurin
DNAJB2,ENSG00000135924,1.0,1.0,0.0,0.0,0.0,0.0,0.04607784375448987,0.0,DnaJ heat shock protein family (Hsp40) member B2
SMN2,ENSG00000205571,1.0,1.0,0.0,0.0,0.0,0.0,0.10263213980984655,0.2805515277777778,"survival of motor neuron 2, centromeric"
MORC2,ENSG00000133422,1.0,1.0,0.0,0.0,0.0,0.0,0.010400000000000001,0.0,MORC family CW-type zinc finger 2
HK1,ENSG00000156515,1.0,1.0,0.0,0.0,0.0,0.0,0.06425532199546485,0.0,hexokinase 1
TFG,ENSG00000114354,1.0,1.0,0.0,0.0,0.0,0.0,0.0406462074829932,0.0,TRK-fused gene
CHMP2B,ENSG00000083937,1.0,1.0,0.0,0.0,0.0,0.0,0.12754228664586437,0.0,charged multivesicular body protein 2B
YARS,ENSG00000134684,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,tyrosyl-tRNA synthetase
HNRNPA1,ENSG00000135486,1.0,1.0,0.0,0.0,0.0,0.0,0.0851019138400158,0.0,heterogeneous nuclear ribonucleoprotein A1
SMN1,ENSG00000172062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2805515277777778,"survival of motor neuron 1, telomeric"
SLC5A7,ENSG00000115665,1.0,1.0,0.0,0.0,1.0,0.0,0.0171,0.26800986111111114,solute carrier family 5 member 7
MAG,ENSG00000105695,1.0,1.0,0.0,0.0,0.0,0.0,0.0931697482224889,0.32540087591848743,myelin associated glycoprotein
MARS,ENSG00000166986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,methionyl-tRNA synthetase
NEK1,ENSG00000137601,1.0,1.0,0.0,0.0,0.0,0.0,0.11832252415150618,0.0,NIMA related kinase 1
AIFM1,ENSG00000156709,1.0,1.0,0.0,0.0,0.0,0.0,0.06799730680855143,0.28190624999999997,apoptosis inducing factor mitochondria associated 1
NEFH,ENSG00000100285,1.0,1.0,0.0,0.0,0.0,0.0,0.21649054194712922,0.32274643935081304,neurofilament heavy
SLC52A3,ENSG00000101276,1.0,1.0,0.0,0.0,0.0,0.0,0.05840321088435374,0.0,solute carrier family 52 member 3
TUBA4A,ENSG00000127824,1.0,1.0,0.0,0.0,0.0,0.0,0.07966669872891292,0.0,tubulin alpha 4a
MYH14,ENSG00000105357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,myosin heavy chain 14
TBK1,ENSG00000183735,1.0,1.0,0.0,0.0,0.0,0.0,0.204865130264814,0.0,TANK binding kinase 1
REEP1,ENSG00000068615,1.0,1.0,0.0,0.0,0.0,0.0,0.038033333333333336,0.3229781696535346,receptor accessory protein 1
ANXA11,ENSG00000122359,1.0,1.0,0.0,0.0,0.0,0.0,0.10115921031746031,0.0,annexin A11
KIF5A,ENSG00000155980,1.0,1.0,0.0,0.0,0.0,0.0,0.16900283226253462,0.2,kinesin family member 5A
KLC2,ENSG00000174996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19388000000000002,kinesin light chain 2
SURF1,ENSG00000148290,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SURF1 cytochrome c oxidase assembly factor
SCN4A,ENSG00000007314,1.0,0.0,0.0,1.0,0.0,0.0,0.014400000000000001,0.3243602042080729,sodium voltage-gated channel alpha subunit 4
SCN8A,ENSG00000196876,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32698946969264625,sodium voltage-gated channel alpha subunit 8
SCN1A,ENSG00000144285,1.0,0.0,0.0,1.0,0.0,0.0,0.014400000000000001,0.268365,sodium voltage-gated channel alpha subunit 1
ERBB4,ENSG00000178568,1.0,1.0,0.0,0.0,0.0,0.0,0.03395,0.18150000000000002,erb-b2 receptor tyrosine kinase 4
SCN2A,ENSG00000136531,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19868000000000002,sodium voltage-gated channel alpha subunit 2
SCN9A,ENSG00000169432,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19798000000000002,sodium voltage-gated channel alpha subunit 9
TRIM2,ENSG00000109654,1.0,1.0,0.0,0.0,0.0,0.0,0.010500000000000002,0.24594500000000002,tripartite motif containing 2
GNB4,ENSG00000114450,1.0,1.0,0.0,0.0,0.0,0.0,0.0216,0.0,G protein subunit beta 4
SCN7A,ENSG00000136546,1.0,0.1718300653,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 7
FGGY,ENSG00000172456,1.0,1.0,0.0,0.0,0.0,0.0,0.04550500000000001,0.0,FGGY carbohydrate kinase domain containing
SCN5A,ENSG00000183873,1.0,0.0,0.0,1.0,0.0,0.0,0.004,0.0,sodium voltage-gated channel alpha subunit 5
SCN10A,ENSG00000185313,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 10
SCN11A,ENSG00000168356,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 11
SCN3A,ENSG00000153253,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 3
WARS,ENSG00000140105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,tryptophanyl-tRNA synthetase
ALDH5A1,ENSG00000112294,0.9591622222222224,0.0,0.0,0.9137222222222223,0.0,0.0,0.0,0.18176,aldehyde dehydrogenase 5 family member A1
TNNI2,ENSG00000130598,0.9232777777777779,0.0,0.0,0.9232777777777779,0.0,0.0,0.0,0.0,"troponin I2, fast skeletal type"
TNNT3,ENSG00000130595,0.9232777777777779,0.0,0.0,0.9232777777777779,0.0,0.0,0.0,0.0,"troponin T3, fast skeletal type"
TNNC2,ENSG00000101470,0.9232777777777779,0.0,0.0,0.9232777777777779,0.0,0.0,0.0,0.0,"troponin C2, fast skeletal type"
UNC13A,ENSG00000130477,0.8881170927346391,0.8684376886641251,0.0,0.0,0.0,0.0,0.07871761628205612,0.0,unc-13 homolog A
SBF1,ENSG00000100241,0.8857608333333334,0.8750000000000001,0.0,0.0,0.0,0.0,0.043043333333333336,0.0,SET binding factor 1
MED25,ENSG00000104973,0.8440422222222222,0.8225,0.0,0.0,0.0,0.0,0.0,0.19388000000000002,mediator complex subunit 25
FGFR3,ENSG00000068078,0.8310240344070451,0.0,0.0,0.7500000000000001,0.0,0.0,0.0,0.32409613762818007,fibroblast growth factor receptor 3
PDGFRA,ENSG00000134853,0.8274029498015875,0.0,0.0,0.7500000000000001,0.0,0.0,0.029596,0.2964580214285715,platelet derived growth factor receptor alpha
PDGFRB,ENSG00000113721,0.8262726600529101,0.0,0.0,0.7500000000000001,0.0,0.0,0.08323269047619047,0.2680983333333333,platelet derived growth factor receptor beta
DCAF8,ENSG00000132716,0.8258777777777778,0.8225,0.0,0.0,0.0,0.0,0.0304,0.0,DDB1 and CUL4 associated factor 8
FBXO38,ENSG00000145868,0.8225,0.8225,0.0,0.0,0.0,0.0,0.0,0.0,F-box protein 38
ARHGEF10,ENSG00000104728,0.8225,0.8225,0.0,0.0,0.0,0.0,0.0,0.0,Rho guanine nucleotide exchange factor 10
ANG,ENSG00000214274,0.8187385999670052,0.7484368055555556,0.0,0.0,0.0,0.0,0.28120717764579833,0.0,angiogenin
KIT,ENSG00000157404,0.8098312500000001,0.0,0.0,0.7500000000000001,0.0,0.0,0.0,0.23932500000000004,"KIT proto-oncogene, receptor tyrosine kinase"
GRIN2A,ENSG00000183454,0.8053159722222223,0.0,0.0,0.7927222222222223,0.0,0.0,0.050375,0.0,glutamate ionotropic receptor NMDA type subunit 2A
IGF1R,ENSG00000140443,0.7766319648478837,0.0,0.0,0.7000000000000001,0.0,0.0,0.035089888888888886,0.29093235321869493,insulin like growth factor 1 receptor
KIF1B,ENSG00000054523,0.7759596202160495,0.7000000000000001,0.0,0.0,0.0,0.0,0.017644444444444445,0.29599650555555557,kinesin family member 1B
CFAP410,ENSG00000160226,0.7587505189249999,0.7503855189249999,0.0,0.0,0.0,0.0,0.03346,0.0,cilia and flagella associated protein 410
MATR3,ENSG00000280987,0.7565006944444445,0.6975694444444445,0.0,0.0,0.0,0.0,0.0,0.23572500000000002,matrin 3
MATR3,ENSG00000015479,0.7523577105623699,0.6975694444444445,0.0,0.0,0.0,0.0,0.2191530644717015,0.0,matrin 3
VAPB,ENSG00000124164,0.7499956563352767,0.6669444444444445,0.0,0.0,0.0,0.0,0.014400000000000001,0.3258048475633286,VAMP associated protein B and C
TNNI3,ENSG00000129991,0.7496700000000001,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.19868000000000002,"troponin I3, cardiac type"
PDE3B,ENSG00000152270,0.7484700000000001,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.19388000000000002,phosphodiesterase 3B
NAGLU,ENSG00000108784,0.7484700000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.19388000000000002,N-acetyl-alpha-glucosaminidase
HSPB3,ENSG00000169271,0.7049000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.019600000000000003,0.0,heat shock protein family B (small) member 3
PDE3A,ENSG00000172572,0.7000000000000001,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,phosphodiesterase 3A
TNNT2,ENSG00000118194,0.7000000000000001,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,"troponin T2, cardiac type"
TNNC1,ENSG00000114854,0.7000000000000001,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,"troponin C1, slow skeletal and cardiac type"
CAPN1,ENSG00000014216,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,calpain 1
UBA1,ENSG00000130985,0.6833174998582767,0.6630555555555556,0.0,0.0,0.0,0.0,0.08104777721088435,0.0,ubiquitin like modifier activating enzyme 1
C9orf72,ENSG00000147894,0.6452057591486988,0.571519463375,0.0,0.0,0.0,0.0,0.29474518309479497,0.0,C9orf72-SMCR8 complex subunit
SARM1,ENSG00000004139,0.5055580790083334,0.499324745675,0.0,0.0,0.0,0.0,0.02493333333333333,0.0,sterile alpha and TIR motif containing 1
MOBP,ENSG00000168314,0.49414957537500004,0.49064957537500004,0.0,0.0,0.0,0.0,0.014,0.0,myelin-associated oligodendrocyte basic protein
AL109811.4,ENSG00000277726,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,
AL139011.2,ENSG00000258465,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,
SCFD1,ENSG00000092108,0.41522474562500006,0.40182474562500003,0.0,0.0,0.0,0.0,0.0536,0.0,sec1 family domain containing 1
SUSD2,ENSG00000099994,0.3972109948,0.3936109948,0.0,0.0,0.0,0.0,0.014400000000000001,0.0,sushi domain containing 2
VEGFA,ENSG00000112715,0.39638452667167934,0.0,0.0,0.0,0.0,0.0,0.28184962324390417,0.3259221208607033,vascular endothelial growth factor A
PTGS2,ENSG00000073756,0.3755325408875061,0.0,0.0,0.25,0.0,0.0,0.1827928679875547,0.2927222222222222,prostaglandin-endoperoxide synthase 2
TNIP1,ENSG00000145901,0.3754446226222222,0.3205774004,0.0,0.0,0.0,0.0,0.0848,0.18178000000000002,TNFAIP3 interacting protein 1
RRM2B,ENSG00000048392,0.37508825426697,0.0,0.0,0.2361111111111111,0.0,0.0,0.0,0.3160604764891922,ribonucleotide reductase regulatory TP53 inducible subunit M2B
CD4,ENSG00000010610,0.3732322623112284,0.0,0.0,0.0,0.0,0.0,0.1849718071818895,0.326989310515756,CD4 molecule
ACHE,ENSG00000087085,0.3699687747077824,0.0,0.0,0.2,0.0,0.0,0.09865919966596048,0.3090066414115646,acetylcholinesterase (Cartwright blood group)
CSF1R,ENSG00000182578,0.3699593836917547,0.0,0.0,0.0,0.0,0.0,0.18021833333333334,0.32490480035842134,colony stimulating factor 1 receptor
KCNQ1,ENSG00000053918,0.36718653446712024,0.0,0.0,0.2611111111111111,0.0,0.0,0.0155,0.30018653446712024,potassium voltage-gated channel subfamily Q member 1
NRG1,ENSG00000157168,0.36657014120427617,0.0,0.0,0.0,0.0,0.0,0.18511084589608726,0.32029242973025435,neuregulin 1
NEFM,ENSG00000104722,0.3664136772570867,0.0,0.0,0.0,0.0,0.0,0.17466895162509455,0.32274643935081304,neurofilament medium
GHR,ENSG00000112964,0.36624747845804984,0.0,0.0,0.25,0.0,0.0,0.020375,0.30148358956916094,growth hormone receptor
LEP,ENSG00000174697,0.3645105109623518,0.0,0.0,0.0,0.0,0.0,0.16065262137818095,0.3243473556178066,leptin
CX3CR1,ENSG00000168329,0.3616883792429655,0.0,0.0,0.0,0.0,0.0,0.15002402623118424,0.3241823726851694,C-X3-C motif chemokine receptor 1
NR3C1,ENSG00000113580,0.35971637328042333,0.0,0.0,0.25,0.0,0.0,0.018666666666666668,0.29514229920634927,nuclear receptor subfamily 3 group C member 1
GRIN1,ENSG00000176884,0.35884581111111113,0.0,0.0,0.2722222222222222,0.0,0.0,0.0,0.2907902555555556,glutamate ionotropic receptor NMDA type subunit 1
DMD,ENSG00000198947,0.358126983096679,0.0,0.0,0.0,0.0,0.0,0.12847621811729681,0.3260079285673548,dystrophin
CPNE4,ENSG00000196353,0.35738322614722223,0.35738322614722223,0.0,0.0,0.0,0.0,0.0,0.0,copine 4
KCNA1,ENSG00000111262,0.35717903446712024,0.0,0.0,0.225,0.0,0.0,0.0,0.3009290344671202,potassium voltage-gated channel subfamily A member 1
KCNQ4,ENSG00000117013,0.3570143666666667,0.0,0.0,0.2611111111111111,0.0,0.0,0.0,0.2917365888888889,potassium voltage-gated channel subfamily Q member 4
MAPT,ENSG00000186868,0.3567970046572046,0.0,0.0,0.0,0.0,0.0,0.12397458950711226,0.32580335728042653,microtubule associated protein tau
LRP4,ENSG00000134569,0.35487534173910307,0.0,0.0,0.0,0.0,0.0,0.23365217013101536,0.29646229920634926,LDL receptor related protein 4
CENPV,ENSG00000166582,0.35332259875,0.35332259875,0.0,0.0,0.0,0.0,0.0,0.0,centromere protein V
CNTF,ENSG00000242689,0.3496843291321283,0.0,0.0,0.0,0.0,0.0,0.0955669751490728,0.3257925853448601,ciliary neurotrophic factor
KIFAP3,ENSG00000075945,0.3482988784616762,0.3336220335,0.0,0.0,0.0,0.0,0.058707379846704516,0.0,kinesin associated protein 3
PCSK5,ENSG00000099139,0.34585996176388895,0.1895594915,0.0,0.0,0.0,0.0,0.004,0.29802564444444446,proprotein convertase subtilisin/kexin type 5
PDC,ENSG00000116703,0.34519796043045226,0.0,0.0,0.0,0.0,0.0,0.28269796043045226,0.25,phosducin
KCNV1,ENSG00000164794,0.3444113166666667,0.0,0.0,0.225,0.0,0.0,0.0,0.28816131666666667,potassium voltage-gated channel modifier subfamily V member 1
CD59,ENSG00000085063,0.3443573726851694,0.0,0.0,0.0,0.0,0.0,0.08070000000000001,0.3241823726851694,CD59 molecule (CD59 blood group)
SOX10,ENSG00000100146,0.341359797730363,0.0,0.0,0.0,0.0,0.0,0.05951111111111111,0.32648201995258525,SRY-box 10
UCHL1,ENSG00000154277,0.3403357424128513,0.0,0.0,0.0,0.0,0.0,0.05344094288428853,0.32697550669177916,ubiquitin C-terminal hydrolase L1
AR,ENSG00000169083,0.33971389703447996,0.0,0.0,0.0,0.0,0.0,0.06851395237032315,0.3225854089418992,androgen receptor
AGRN,ENSG00000188157,0.33968217112234705,0.0,0.0,0.0,0.0,0.0,0.0738642222222222,0.3212161155667915,agrin
SLC12A6,ENSG00000140199,0.3395005804258202,0.0,0.0,0.0,0.0,0.0,0.050016082044418625,0.32699655991471555,solute carrier family 12 member 6
IFNB1,ENSG00000171855,0.339481928240725,0.0,0.0,0.0,0.0,0.0,0.06119822222222222,0.3241823726851694,interferon beta 1
HLA-F,ENSG00000204642,0.3393823726851694,0.0,0.0,0.0,0.0,0.0,0.0608,0.3241823726851694,"major histocompatibility complex, class I, F"
CP,ENSG00000047457,0.3390140988756456,0.0,0.0,0.0,0.0,0.0,0.05932690476190476,0.3241823726851694,ceruloplasmin
KCNA2,ENSG00000177301,0.33815625,0.0,0.0,0.225,0.0,0.0,0.0,0.28190624999999997,potassium voltage-gated channel subfamily A member 2
HSPG2,ENSG00000142798,0.33787410377034205,0.0,0.0,0.0,0.0,0.0,0.0532582216553288,0.32455954835650985,heparan sulfate proteoglycan 2
HTRA2,ENSG00000115317,0.3366579178348162,0.0,0.0,0.0,0.0,0.0,0.053000000000000005,0.3234079178348162,HtrA serine peptidase 2
STMN1,ENSG00000117632,0.33661492190696646,0.0,0.0,0.0,0.0,0.0,0.04368955555555556,0.32569253301807755,stathmin 1
FASLG,ENSG00000117560,0.3361268293337261,0.0,0.0,0.0,0.0,0.0,0.04700888888888889,0.3243746071115039,Fas ligand
CD86,ENSG00000114013,0.3360315390874016,0.0,0.0,0.0,0.0,0.0,0.042600000000000006,0.3253815390874016,CD86 molecule
CXCL10,ENSG00000169245,0.3358740393518361,0.0,0.0,0.0,0.0,0.0,0.04676666666666667,0.3241823726851694,C-X-C motif chemokine ligand 10
GRM1,ENSG00000152822,0.335280782669887,0.0,0.0,0.0,0.0,0.0,0.05827732387417778,0.3207114517013425,glutamate metabotropic receptor 1
SLC17A5,ENSG00000119899,0.335066269391308,0.0,0.0,0.0,0.0,0.0,0.04270209977324263,0.32439074444799737,solute carrier family 17 member 5
CTF1,ENSG00000150281,0.3348698631718071,0.0,0.0,0.0,0.0,0.0,0.05176869727891157,0.32192768885207923,cardiotrophin 1
SACS,ENSG00000151835,0.3346357605540585,0.0,0.0,0.0,0.0,0.0,0.0352,0.32583576055405855,sacsin molecular chaperone
ZFYVE26,ENSG00000072121,0.3344621595695208,0.0269613446,0.0,0.0,0.0,0.0,0.017833333333333336,0.3257403419380393,zinc finger FYVE-type containing 26
FKBP1A,ENSG00000088832,0.3343562716049383,0.0,0.0,0.25,0.0,0.0,0.04570144444444445,0.26677833333333334,FKBP prolyl isomerase 1A
PSAP,ENSG00000197746,0.3340965139465104,0.0,0.0,0.0,0.0,0.0,0.0284,0.3269965139465104,prosaposin
LAMA2,ENSG00000196569,0.3329609794401657,0.0239324746,0.0,0.0,0.0,0.0,0.0,0.3269778607901657,laminin subunit alpha 2
CHAT,ENSG00000070748,0.33268338888244897,0.0,0.0,0.0,0.0,0.0,0.058458059356741254,0.31806887404326367,choline O-acetyltransferase
MBP,ENSG00000197971,0.332277794454663,0.0,0.0,0.0,0.0,0.0,0.02149187301587302,0.3269048262006947,myelin basic protein
ABCD1,ENSG00000101986,0.3321478062553008,0.0,0.0,0.0,0.0,0.0,0.029908333333333332,0.32467072292196747,ATP binding cassette subfamily D member 1
DST,ENSG00000151914,0.3320967800369786,0.0,0.0,0.0,0.0,0.0,0.0204,0.32699678003697863,dystonin
SLC33A1,ENSG00000169359,0.33160799749382036,0.0,0.0,0.0,0.0,0.0,0.02537188888888889,0.3252650252715981,solute carrier family 33 member 1
SLC9A1,ENSG00000090020,0.3314835579305542,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.32248355793055417,solute carrier family 9 member A1
PABPN1,ENSG00000100836,0.33139988496774003,0.0,0.0,0.0,0.0,0.0,0.0396,0.32149988496774,poly(A) binding protein nuclear 1
SOX2,ENSG00000181449,0.33122997272888766,0.0,0.0,0.0,0.0,0.0,0.03536171428571428,0.3223895441574591,SRY-box 2
SCYL1,ENSG00000142186,0.3312012230201214,0.0,0.0,0.0,0.0,0.0,0.0169,0.3269762230201214,SCY1 like pseudokinase 1
KCNJ10,ENSG00000177807,0.3307993624794441,0.0,0.0,0.0,0.0,0.0,0.031,0.3230493624794441,potassium voltage-gated channel subfamily J member 10
TP63,ENSG00000073282,0.33077523270038406,0.0,0.0,0.0,0.0,0.0,0.039,0.3210252327003841,tumor protein p63
CANX,ENSG00000127022,0.3305003331056045,0.0,0.0,0.0,0.0,0.0,0.02,0.3255003331056045,calnexin
GDNF,ENSG00000168621,0.3303873272627385,0.0,0.0,0.0,0.0,0.0,0.1664676423842874,0.28877041666666664,glial cell derived neurotrophic factor
